Id|PageId|ArticleGoupId|Title|Permalink|Summary|Content|Source|Picture|PublishDate|Featured|Updated|CreatedById|UpdatedById|Created
1|NULL|NULL|GasPrice Conquista Prêmio FIEB Desempenho Ambiental 2012|deten-conquista-premio-fieb-desempenho-ambiental-2012|NULL|"<p>A DETEN recebeu da FIEB - Federação das Indústrias do Estado da Bahia o Prêmio de Desempenho Ambiental 2012. A empresa foi a vencedora na categoria Responsabilidade Socioambiental na Categoria Média Empresa pelo Projeto Cheque Verde. A premiação foi criada em 2002 com o objetivo de reconhecer, estimular e premiar empresas que se destacam na implementação de atividades que contribuem para melhoria da qualidade ambiental, aumento de produtividade e maior competitividade no mercado globalizado.</p>  <p>Criado em 1998, o CHEQUE VERDEé resultado dos valores arrecadados no ano, provenientes da venda de resíduos, dentre os quais sucata metálica e óleo usado, e é distribuído no ano seguinte às entidades beneficentes. As ONGs que concorrem ao CHEQUE VERDEsão indicadas pelos empregados e contratados, visitadas e avaliadas por uma comissão multidisciplinar.</p>  <p>A DETEN já participou do prêmio em outras ocasiões, tendo obtido os seguintes troféus: categoria “Educação Ambiental”, com o Viva o Mangue – Educação Ambiental e Transformação Social (2006); categoria "Produção Mais Limpa" com o Programa Efluente Zero (2005); e "Menção Honrosa" com o projeto Redução do consumo de matéria-prima por melhoria no catalisador (2004),na modalidade Produção Mais Limpa.</p> <p>Para o Diretor Industrial Ángel Prados, "o prêmio recebido simboliza todo o esforço da comunidade DETEN para reduzir o impacto ambiental do processo produtivo, além de refletir o desejo e a solidariedade dos empregados para ajudar os mais carentes".</p>"|GasPrice|NULL|3/2/2015 0:00|FALSE|3/10/2015 17:11|1|NULL|4/13/2015 10:19
2|NULL|NULL|Mais uma vez GasPrice é excelência no Prêmio Polo|mais-uma-vez-deten-e-excelencia-no-premio-polo|NULL|"<p>Resultado de empenho e eficiência, a DETEN é destaque, mais uma vez, no Prêmio Polo de Segurança, Saúde, Higiene e Meio Ambiente – CATEGORIA OURO. Na mais recente avaliação, a Empresa obteve a maior pontuação da categoria entre as participantes, com 95,3% de conformidade com o Guia do Prêmio. A premiação já existe há 15 anos e, ao longo deste período, tem contribuído para o aprimoramento das práticas de prevenção de acidentes no Polo Industrial de Camaçari. As avaliações têm como base um Guia de Auditoria que estabelece 16 itens, entre os quais se destacam "administração e liderança em SSMA", "segurança de processo industrial", "gestão em saúde ocupacional" e "gestão ambiental".</p> <p>Para o Coordenador Carlos Pessoa (PSQ), "os excelentes resultados da DETEN ao longo dos últimos 10 anos refletem a melhoria contínua no processo de SSHMA, que conta com o envolvimento de todos os empregados, terceiros e estagiários".</p> <h3>Depoimentos</h3> <b>Mario Sá</b> – Tecnólogo (OPR) <p>O Prêmio Polo é um reconhecimento às boas práticas. É colocar o Polo Industrial, e em especial a DETEN, na vitrine das grandes empresas, mostrando que se pode produzir com respeito ao Meio Ambiente, com Segurança e com Qualidade.</p> <b>João Borges Silva</b> – Cozinheiro Líder (GR) <p>A DETEN é merecedora do Prêmio Polo porque está sempre atenta à Segurança, Saúde e ao Meio Ambiente, sem descuidar da melhoria contínua de seus empregados e terceiros.</p> <b>Carlos Antônio Evangelista Caldas</b> - Técnico de Segurança (PSQ) <p>Eu estou super orgulhoso com mais esse prêmio da DETEN. Trabalho na área de Segurança Industrial há 23 anos e me sinto muito seguro, pois a segurança é vista como valor para toda organização.</p>"|GasPrice|NULL|3/10/2015 0:00|FALSE|3/10/2015 17:37|1|NULL|4/14/2015 10:19
3|NULL|NULL|Premio IEL melhores Práticas de Estágio|premio-iel-melhores-praticas-de-estagio|NULL|"<h2> DETEN é mais uma vez finalista no Prêmio IEL Melhores Práticas de Estágio </h2> <p>Pelo segundo ano consecutivo, a DETEN é finalista do Prêmio IEL Melhores Práticas de Estágio, concorrendo na categoria média empresa. Em 2007 (Regional) e 2008 (Nacional), a empresa conquistou o primeiro lugar na mesma categoria. Na premiação, a DETEN esteve representada pelo Diretor Geral José Luis Almeida e pela Analista de Recursos Humanos Adriana Giannotti. </p> <p> Em julho, a FIEB – Federação das Indústrias do Estado da Bahia realizou a cerimônia da 9ª edição do Prêmio IEL Melhores Práticas de Estágio. Criado em 2004 pelo Instituto Euvaldo Lodi, o prêmio tem como objetivo identificar boas práticas e motivar as empresas baianas a desenvolver programas cada vez melhores. </p> <p> O processo de auditoria do IEL contempla visita da Comissão de Avaliação à empresa, quando os Avaliadores seguiram o seguinte escopo: observar a prática de estágio da Empresa e buscar evidências de documentos, relatórios, formulários, o próprio programa e o que mais possa auxiliar a avaliar o programa de estágio da companhia. </p> <p> Para Thiago Menezes (eletromecânica), estagiar na DETEN é um dos passos necessários para realizar seu sonho de ser projetista. "O nome da DETEN dá relevância ao currículo, pois é uma empresacertificada internacionalmente e já conquistou vários prêmios. Aqui disponho de todas as ferramentas e informações de que necessito para realizar meu trabalho, além disso, fui muito bem acolhido pela equipe da Engenharia", disse o estudante. O estágio de Thiago será concluído em maio de 2013, e ele, certamente, vai conquistar seu sonho. </p>"|GasPrice|NULL|3/2/2015 0:00|TRUE|3/10/2015 17:11|1|NULL|4/15/2015 10:19
4|NULL|NULL|Certificação SPIE|certificacao-spie|NULL|<h2>CERTIFICAÇÃO SPIE – Serviço Próprio de Inspeção de Equipamentos - </h2><p>A DETEN teve seu Sistema Manutenção avaliado pelos auditores do IBP – Instituto Brasileiro de Petróleo, Gás e Biodiesel, tomando como base os requisitos da NR-13 e Portarias 349 e 351/2009 do Inmetro para certificação no SPIE. Não foi identificada nenhuma não-conformidade e, em seu parecer, os auditores recomendaram a certificação ao IBP. A certificação foi submetida à avaliação final da Comissão de Certificação (ComCer), que analisou o relatório final dos auditores e aprovou a certificação do SPIE da DETEN em 14/03/13.</p>|GasPrice|NULL|3/2/2015 0:00|FALSE|3/10/2015 17:11|1|NULL|4/16/2015 10:19
5|NULL|NULL|Prêmio CEPSA de Valor Social 2014|premio-cepsa-de-valor-social-2014|NULL|"<font color="#000000" face="tahoma, arial, verdana, sans-serif">A DETEN QUÍMICA, empresa do Grupo CEPSA, convoca para a primeira edição do "iPrêmio CEPSA de Valor Social"no Brasil, em uma iniciativa que premiará os melhores projetos apresentados e que tenham por objetivo melhorar a qualidade de vida das pessoas menos favorecidas.</font><br><br>Desse modo, contribuiremos para transformar em realidade os desejos de muitas pessoas que necessitam de ajuda.<br><br>Para maiores informações, acesso o site:<br><a>www.deten.com.br/premiocepsavalorsocial</a><br><br>Período para inscrição de Projetos: 15/setembro a 15/outubro de 2014."|CEPSA|NULL|1/9/2014 0:00|FALSE|3/10/2015 17:11|1|NULL|4/17/2015 10:19
6|NULL|NULL|GasPrice Mantém sua Certificação do SPIE|deten-obtem-certificacao-spie|NULL|<p>DETEN MANTÉM SUA CERTIFICAÇÃO DO SPIE</p><p>Sempre em busca da segurança das pessoas e das suas instalações a DETEN foi certificada no SPIE – Serviço Próprio de Inspeção de Equipamentos em 2012, sendo auditada pelo IBP – Instituto Brasileiro de Petróleo, Gás e Biocombustíveis, único órgão credenciado no Brasil para realizar esta certificação, que visa garantira confiabilidade estrutural das instalações industriais.</p><p>Novas auditorias foram realizadas em novembro de 2013 e dezembro de 2014 para a manutenção da certificação As auditorias incluiram entrevistas ao representante do SINDIQUÍMICA e representante da CIPA, além da verificação detalhada de campo e análise documental, dentre várias outras exigências contidas na NR-13 do MTE – Ministério do Trabalho e Emprego e nas Portarias 349/2009 e 351/2009 do INMETRO, que são a base legal para esta certificação.Como resultado a DETEN foi recomendada a manter a sua certificação, sem apresentar qualquer não conformidade.</p><p>Considerando a auditoria inicial e as duas auditorias de manutenção realizadas, esta é a terceira auditoria que a DETEN realiza sem qualquer não conformidade registrada. Este resultado demonstra que estamos cuidando adequadamente das nossas instalações industriais, com desdobramentos positivos na segurança das pessoas que são o nosso principal ativo, comenta o responsável pelo SPIE da DETEN, engenheiro Adolfo Frota.</p><p>As contribuições apresentadas pela auditora serão tratadas com o objetivo de tornar o nosso sistema cada vez mais forte. Esta é uma certificação prioritária para a DETEN sendo requerido o envolvimento de toda a organização para viabiliza-la, finaliza Frota.</p>|GasPrice|NULL|3/2/2015 0:00|TRUE|3/10/2015 17:28|1|NULL|4/18/2015 10:19
7|NULL|NULL|GasPrice recebe Conselho Consultivo (Comunidades)|deten-recebe-conselho-consultivo-(comunidades)|NULL|<p><b>DETEN recebe Conselho Consultivo (Comunidades)</b></p><p></p><p>No dia 27 de fevereiro, a DETEN recebeu o <b>ConselhoConsultivo (Comunidades)</b>, para a realização de sua reunião bimensal.</p><p>O <b>Conselho</b>, criado pelo COFIC em 1994, é composto derepresentantes das comunidades vizinhas e tem por objetivo é intensificar aaproximação do complexo industrial com essas comunidades.</p><p>As reuniões acontecem a cada dois meses e tratam de temascomo segurança industrial, saúde ocupacional, proteção ambiental eresponsabilidade social.</p><p>O <b>Diretor Geral José Luis Almeida </b>agradeceu aparticipação dos <b>Conselheiros </b>e reforçou a necessidade de manter canaisde comunicação permanentes com as comunidades vizinhas.</p>|GasPrice|NULL|3/11/2015 0:00|TRUE|3/10/2015 17:38|1|NULL|4/19/2015 10:19
8|NULL|NULL|Conselho Fiscal GasPrice realiza reunião|conselho-fiscal-deten-realiza-reuniao|NULL|"<p><b>Conselho Fiscal DETEN realiza primeira reunião do ano</b></p><p><b></b></p><p><img width="383" height="179" src="/01\clip_image001.jpg" border="0" v:shapes="Picture_x0020_24"></p><p>No dia 20 de março, o <b>Conselho Fiscal DETEN </b>realizousua primeira reunião do ano.</p><p>O Conselho reuniu-se nas dependências da DETEN para apreciaras Demonstrações Financeiras do exercício encerrado em 31 de dezembro de 2014,que foram aprovadas por unanimidade.</p><p>Os membros do Conselho Fiscal são:</p><p>Henrique Dias Carneiro, Mario Nogueira e Mauro Guimarães(representantes da Cepsa), Heraldo Belo (representante da Petrobras) e RosileneSouza (representante do Tesouro Nacional).</p><br><br>"|GasPrice|NULL|4/6/2015 0:00|TRUE|4/6/2015 14:58|1|NULL|4/20/2015 10:19
9|NULL|NULL|Dia Mundial da Água|dia-mundial-da-agua|NULL|"<p></p><p><b>DIA MUNDIAL DA ÁGUA</b></p><p><b>FOCO: Educação continuada para a força de trabalho da GasPricee alunos do ensino fundamental.</b></p><p><img width="420" height="211" src="/01\clip_image001.jpg" border="0" v:shapes="Imagem_x0020_25"><b></b></p><p>Para comemorar o dia Mundial da água (22/03/15)a GasPrice elaborou campanha na semana de 16 a 23/03/15 com foco em educação paraadultos e crianças. Para isso foi realizada programação interna comdistribuição de jornais informativos, cartazes, mensagens em outdoor, intranete apresentação de Peça Teatral <b>Água:</b> <b>É Tudo Nosso. Nada Deles!</b>,realizada no auditório da GasPrice. Para o público externo foram realizada visitasem escolas de Dias d´Ávila e Salvador com distribuição de jornais e CDssobre o tema “Água Essência da Vida”. As visitas foram realizadas por FábiaGama e Edeneval Bessa – (PSQ) em Dias d´Ávila – Escola Santo Antônio, epor Márcia Rodrigues (CQA) em Salvador – Escola 15 DE NOVEMBRO – no bairro deSão Cristovão, que na oportunidade esclareceram dúvidas e reforçaram com osestudantes a importância deste recurso, que é essencial para a vida de todosnós!</p><p></p>"|GasPrice|NULL|4/5/2015 0:00|TRUE|5/10/2015 1:05|1|NULL|4/21/2015 10:19
10|NULL|NULL|DETEN realiza Assembleia Geral Ordinária e Extraordinária|deten|NULL|<p>No dia 16 de abril, foram realizadas nas dependências da DETEN reuniões do Comitê Executivo, Conselho de Administração e Assembleia Geral Ordinária e Extraordinária. Estiveram presentes Conselheiros da <b>Cepsa</b> e da <b>Petrobras</b>, além de convidados.Os Conselheiros e Diretores foram reconduzidos aos cargos, com exceção do Conselheiro Djalma Rodrigues (Petrobras), que foi substituído pela engenheira Laura Lopes de Oliveira (Petrobras). Na oportunidade, o presidente do Conselho o Sr. Juan Vera Garcia agradeceu em nome da Companhia ao <b>Sr. Djalma Souza </b>os valiosos serviços prestados, desejando-lhe sucesso e felicidade nos novos desafios.</p>|GasPrice|NULL|4/1/2015 0:00|TRUE|4/23/2015 10:18|1|NULL|4/22/2015 10:19
11|NULL|NULL|AUDITORIA EXTERNA DE MANUTENÇÃO DAS NORMAS ISOs 9001/14001 e OHSAS 18001 – RESULTADOS/2015|auditoria-externa-de-manutencao-das-normas-isos-9001/14001-e-ohsas-18001-–-resultados/2015|NULL|<p >No período de 14 a 17/04/2015aconteceu a auditoria externa para manutenção das normas ISOs 9001/14001e OHSAS 18001 pela certificadora – BSI – Brasil Sistemas de Gestão. O resultadoapontou que o sistema de Gestão da GasPrice – SIGA – Sistema Integrado de GestãoAvançada está conforme com os requisitos dessas normas.</p>|GasPrice|NULL|1/4/2015 0:00|TRUE|4/23/2015 10:19|1|NULL|4/23/2015 10:19
12|NULL|NULL|3º WORKSHOP – SINDILIMPE NORDESTE|3º-workshop-–-sindilimpe-nordeste|NULL|<p >Em 16 e 17 de abril, aDETEN esteve representada no <b>3º Workshop Sindilimp Nordeste</b>, promovidopelo Sindicato das Indústrias de Sabão e Velas, Saneantes e Material de Limpezade Pernambuco.</p>|GasPrice|NULL|1/4/2015 0:00|TRUE|4/23/2015 10:20|1|NULL|4/23/2015 10:20
13|NULL|NULL|DETEN disponibiliza Balanço Patrimonial 2014|deten-disponibiliza-balanco-patrimonial-2014|NULL|<p >Publicado nos Jornais Atardee Correio da Bahia (03/abril) , o Balanço Patrimonial 2014 está disponívelna página da empresa na Internet, onde se pode ler também um resumo dasações socioambientais da companhia e um relatório da Diretoria contendocomentários sobre o desempenho da empresa em 2014.</p>|GasPrice|NULL|1/4/2015 0:00|TRUE|4/23/2015 10:20|1|NULL|4/23/2015 10:20
14|NULL|NULL|DETEN bate recorde de produção|deten-bate-recorde-de-producao|NULL|<p >Em março, alcançamos a <u>maiorprodução de LAB mensal de toda a história da DETEN</u>. Esse recorde foialcançado em função do esforço de toda a equipe, que permitiu a <u>continuidadeoperacional</u>. Esse nível de produção está em linha com nossa meta definidapara 2015.</p>|GasPrice|NULL|1/4/2015 0:00|TRUE|4/23/2015 10:20|1|NULL|4/23/2015 10:20
15|NULL|NULL|Brigada DETEN, vencedora do I Desafio de Brigadas do Polo de Camaçari|brigada-deten,-vencedora-do-i-desafio-de-brigadas-do-polo-de-camacari|NULL|<p>Nos dias 3 e 4/09/2015 o COFIC promoveu o primeiro <b>Desafio de Brigadas do Polo de Camaçari</b>, que reuniu várias empresas do Polo. O objetivo principal é fomentar/motivar as Brigadas.</p><p>O evento teve como comissão julgadora o Coronel Bombeiro Alvarez, o Major Bombeiro Lanusse e o representante oficial do CTCE-Centro de Treinamento de Controle de Emergências Reinaldo Ferriance. </p><p>Participaram da Competição as empresas que entendiam estar preparadas para o evento pois vários critérios foram definidos,são elas: Braskem UNIB, Braskem PE1, PE2 e PE3, <b>GasPrice</b>, Oxiteno Ultracargo, Monsanto Elekeiroz e Continental. É como muito orgulho que informamos que empresa vencedora foi a <b>GasPrice </b>nos tornando a <b>Melhor Brigada do Polo de Camaçari</b>.</p>|GasPrice Química S.A.|NULL|9/14/2015 0:00|TRUE|10/15/2015 11:03|1|NULL|9/14/2015 14:09
